step	commit	score	topology	specs_met	notes
6	c87d529	0.97	3-stage NMOS-starved direct Vctrl	4/5	freq=104MHz tuning=48.8x pwr=27uW temp_var=12%(FAIL) jitter=0.5%
1	manual	0.95	3-stage-comp-starved	5/5	freq=264MHz pwr=76uW tune=7.8x temp=6.2%
2	2e7de4b	0.97	3-stage-comp-starved-Lsn0.8	5/5	freq=282MHz pwr=78uW tune=174x temp=5.0%
3	7e54647	0.98	3-stage-comp-starved-Lsn0.75	5/5	freq=287MHz pwr=79uW tune=176x temp=4.9%
4	pending	1.00	3-stage-comp-starved-DE-optimized	5/5	freq=184MHz pwr=60uW tune=2.2x temp=0.1% jitter=0.5%
7	ddc92ab	1.00	3-stage NMOS-starved Ls=1.67u temp-comp	5/5	freq=665MHz tuning=5.17x pwr=189uW temp_var=1.66% jitter=0.5%
8	156070a	1.00	5-stage NMOS-starved ring osc	5/5	freq=100MHz tuning=4.73x pwr=29uW temp_var=0.001% jitter=0.5%
9	pending	1.00	5-stage NMOS-starved DE-optimized Ln=1.39	5/5	freq=102MHz tuning=7.88x pwr=36uW temp_var=0.01% jitter=0.5% validated
10	643bb84	1.00	5-stage NMOS-starved LVT DE-optimized	5/5	freq=109MHz tuning=2.50x pwr=35uW temp_var=0.11% jitter=0.001% fully validated
11	pending	1.00	5-stage LVT NMOS-starved cross-coupled caps	5/5	freq=110MHz tuning=3.67x pwr=58uW temp_var=0.04% jitter=0.0005% validated
